data,testo_50_parole,giornale,firma_esatta,file_origine
1937-10-10T00:00:00Z,"trait, ce qui lui donne un charme de plus. Livre émouvant aussi, qui nous révèle les efforts, les progrès, l'épanouissement d'une vie, vouée au culte de la pensée et de l'art sous toutes ses formes et qui s'est consumée trop vite à la recherche passionnée de son idéal. Robert Fazy.",Gazette de Lausanne,Robert Fazy.,robertfazy_GDL.csv
1941-08-06T00:00:00Z,"n'en est pas de même d'ouvrages tels que l'. 4 rt Khmer, où le détail cherché doit pouvoir être trouvé immédiatement. Il faut souhaiter que cette lacune soit comblée dans les prochains volumes des Etudes d'art cl d'ethnologie asiatiques. Robert Fazy, Président de la Société suisse des amis de l'Extrême-Orient.",Gazette de Lausanne,"Robert Fazy, Président de la Société suisse des amis de l'Extrême-Orient.",robertfazy_GDL.csv
1942-01-25T00:00:00Z,"Tout en remerciant M. J. Weulersse de son beau travail, il faut émettre le vœu. que ce ne soit qu'un commencement et que l'Institut français de Damas fasse reprendre bientôt L'étude archéologique et historique. du territoire des Assassins au point même où Dussaud et van Berchem l'ont laissée. Robert Fazy.",Gazette de Lausanne,Robert Fazy.,robertfazy_GDL.csv
1942-04-09T00:00:00Z,"sur une juste appréciation de vereàire, la précision et l'énergie de cution. sont' hors pair. Inappréciable pour l'exposé et le classement des faits, la nouvelle « Histoire de l'Afghanistan » ne dispense pasS le lecteur, désireux de s-e faire une opinion critique, de recourir aux sour-C 6 S Robert Fazy",Gazette de Lausanne,Robert Fazy,robertfazy_GDL.csv
1949-11-05T00:00:00Z,"des notes — se frayer peu à peu le chemin que l'auteur aurait voulu leur rendre plus aisé, sont renvoyés à une introduction à l'étude de La Vie du Bouddha, qui paraîtra, au début de l'année prochaine, dans le fascicule 1950, I, de la Revue suisse d'études asiatiques. Robert Fazy.",Gazette de Lausanne,Robert Fazy.,robertfazy_GDL.csv
